iso_a3,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,cvd_death_rate
AFG,Afghanistan,2020-06-14,24102.0,451.0,619.138,11.585,597.029
ALB,Albania,2020-06-14,1464.0,36.0,508.722,12.51,304.195
DZA,Algeria,2020-06-14,10810.0,760.0,246.516,17.331,278.36400000000003
AND,Andorra,2020-06-14,853.0,51.0,11039.928,660.066,109.135
AGO,Angola,2020-06-14,138.0,6.0,4.199,0.183,276.045
AIA,Anguilla,2020-06-14,3.0,0.0,199.97299999999998,0.0,
ATG,Antigua and Barbuda,2020-06-14,26.0,3.0,265.501,30.635,191.511
ARG,Argentina,2020-06-14,30282.0,815.0,670.018,18.033,191.032
ARM,Armenia,2020-06-14,16004.0,264.0,5400.856,89.09200000000001,341.01
ABW,Aruba,2020-06-14,101.0,3.0,945.9939999999999,28.099,
AUS,Australia,2020-06-14,7302.0,102.0,286.35400000000004,4.0,107.791
AUT,Austria,2020-06-14,17014.0,677.0,1889.101,75.169,145.183
AZE,Azerbaijan,2020-06-14,9570.0,115.0,943.8639999999999,11.342,559.812
BHS,Bahamas,2020-06-14,103.0,11.0,261.921,27.971999999999998,235.954
BHR,Bahrain,2020-06-14,18227.0,39.0,10711.79,22.92,151.689
BGD,Bangladesh,2020-06-14,84379.0,1139.0,512.352,6.916,298.003
BRB,Barbados,2020-06-14,96.0,7.0,334.06300000000005,24.359,170.05
BLR,Belarus,2020-06-14,53241.0,303.0,5634.3730000000005,32.066,443.129
BEL,Belgium,2020-06-14,59918.0,9650.0,5169.973,832.6419999999999,114.898
BLZ,Belize,2020-06-14,20.0,2.0,50.299,5.03,176.957
BEN,Benin,2020-06-14,412.0,6.0,33.984,0.495,235.84799999999998
BMU,Bermuda,2020-06-14,144.0,9.0,2312.399,144.525,139.547
BTN,Bhutan,2020-06-14,66.0,0.0,85.535,0.0,217.06599999999997
BOL,Bolivia,2020-06-14,17842.0,585.0,1528.481,50.11600000000001,204.299
BES,Bonaire Sint Eustatius and Saba,2020-06-14,7.0,0.0,266.962,0.0,
BIH,Bosnia and Herzegovina,2020-06-14,2893.0,163.0,881.793,49.683,329.635
BWA,Botswana,2020-06-14,60.0,1.0,25.514,0.425,237.372
BRA,Brazil,2020-06-14,850514.0,42720.0,4001.3,200.979,177.96099999999998
VGB,British Virgin Islands,2020-06-14,8.0,1.0,264.577,33.071999999999996,
BRN,Brunei,2020-06-14,141.0,2.0,322.298,4.572,201.285
BGR,Bulgaria,2020-06-14,3266.0,172.0,470.033,24.754,424.68800000000005
BFA,Burkina Faso,2020-06-14,894.0,53.0,42.768,2.535,269.048
BDI,Burundi,2020-06-14,94.0,1.0,7.905,0.084,293.068
KHM,Cambodia,2020-06-14,128.0,0.0,7.656000000000001,0.0,270.892
CMR,Cameroon,2020-06-14,9572.0,275.0,360.583,10.359000000000002,244.66099999999997
CAN,Canada,2020-06-14,98399.0,8107.0,2607.138,214.8,105.59899999999999
CPV,Cape Verde,2020-06-14,726.0,6.0,1305.7839999999999,10.792,182.21900000000002
CYM,Cayman Islands,2020-06-14,187.0,1.0,2845.405,15.216,
CAF,Central African Republic,2020-06-14,2057.0,7.0,425.901,1.449,435.727
TCD,Chad,2020-06-14,848.0,72.0,51.626000000000005,4.383,280.995
CHL,Chile,2020-06-14,167355.0,3101.0,8754.612,162.218,127.993
CHN,China,2020-06-14,84288.0,4638.0,58.56100000000001,3.222,261.899
COL,Colombia,2020-06-14,48746.0,1592.0,958.0039999999999,31.288,124.24
COM,Comoros,2020-06-14,176.0,2.0,202.393,2.3,261.51599999999996
COG,Congo,2020-06-14,779.0,25.0,141.172,4.531000000000001,344.094
CRI,Costa Rica,2020-06-14,1662.0,12.0,326.259,2.356,137.97299999999998
CIV,Cote d'Ivoire,2020-06-14,4848.0,45.0,183.78799999999998,1.706,303.74
HRV,Croatia,2020-06-14,2251.0,107.0,548.32,26.064,253.782
CUB,Cuba,2020-06-14,2238.0,84.0,197.588,7.416,190.968
CUW,Curacao,2020-06-14,22.0,1.0,134.065,6.093999999999999,
CYP,Cyprus,2020-06-14,980.0,18.0,1118.85,20.55,141.171
CZE,Czech Republic,2020-06-14,9991.0,329.0,932.955,30.721999999999998,227.485
COD,Democratic Republic of Congo,2020-06-14,4723.0,105.0,52.735,1.172,318.949
DNK,Denmark,2020-06-14,12139.0,597.0,2095.748,103.07,114.76700000000001
DJI,Djibouti,2020-06-14,4449.0,41.0,4503.027,41.498000000000005,258.03700000000003
DMA,Dominica,2020-06-14,18.0,0.0,250.03099999999998,0.0,227.37599999999998
DOM,Dominican Republic,2020-06-14,22572.0,577.0,2080.771,53.19,266.653
ECU,Ecuador,2020-06-14,46356.0,3874.0,2627.435,219.576,140.44799999999998
EGY,Egypt,2020-06-14,42980.0,1484.0,419.996,14.501,525.432
SLV,El Salvador,2020-06-14,3603.0,72.0,555.487,11.1,167.295
GNQ,Equatorial Guinea,2020-06-14,1306.0,12.0,930.872,8.552999999999999,202.812
ERI,Eritrea,2020-06-14,65.0,0.0,18.328,0.0,311.11
EST,Estonia,2020-06-14,1973.0,69.0,1487.329,52.015,255.56900000000002
ETH,Ethiopia,2020-06-14,3166.0,55.0,27.539,0.478,182.63400000000001
FRO,Faeroe Islands,2020-06-14,187.0,0.0,3826.87,0.0,
FLK,Falkland Islands,2020-06-14,13.0,0.0,3732.415,0.0,
FJI,Fiji,2020-06-14,18.0,0.0,20.079,0.0,412.82
FIN,Finland,2020-06-14,7087.0,325.0,1279.076,58.657,153.507
FRA,France,2020-06-14,156813.0,29398.0,2402.399,450.38199999999995,86.06
PYF,French Polynesia,2020-06-14,60.0,0.0,213.59599999999998,0.0,
GAB,Gabon,2020-06-14,3463.0,23.0,1555.895,10.334000000000001,259.967
GMB,Gambia,2020-06-14,28.0,1.0,11.585999999999999,0.414,331.43
GEO,Georgia,2020-06-14,851.0,14.0,213.327,3.509,496.218
DEU,Germany,2020-06-14,186269.0,8787.0,2223.206,104.87700000000001,156.139
GHA,Ghana,2020-06-14,11118.0,48.0,357.80300000000005,1.545,298.245
GIB,Gibraltar,2020-06-14,176.0,0.0,5223.947,0.0,
GRC,Greece,2020-06-14,3112.0,183.0,298.569,17.557000000000002,175.695
GRL,Greenland,2020-06-14,13.0,0.0,228.986,0.0,199.94099999999997
GRD,Grenada,2020-06-14,23.0,0.0,204.41,0.0,243.96400000000003
GUM,Guam,2020-06-14,185.0,5.0,1096.0819999999999,29.624000000000002,310.496
GTM,Guatemala,2020-06-14,9491.0,367.0,529.763,20.485,155.898
GGY,Guernsey,2020-06-14,252.0,13.0,3758.277,193.87900000000002,
GIN,Guinea,2020-06-14,4484.0,25.0,341.435,1.9040000000000001,336.717
GNB,Guinea-Bissau,2020-06-14,1460.0,15.0,741.8710000000001,7.622000000000001,382.474
GUY,Guyana,2020-06-14,159.0,12.0,202.146,15.255999999999998,373.159
HTI,Haiti,2020-06-14,4165.0,70.0,365.27,6.138999999999999,430.548
HND,Honduras,2020-06-14,8455.0,310.0,853.643,31.299,240.208
HUN,Hungary,2020-06-14,4064.0,559.0,420.689,57.865,278.296
ISL,Iceland,2020-06-14,1808.0,10.0,5298.168000000001,29.304000000000002,117.992
IND,India,2020-06-14,320922.0,9195.0,232.551,6.662999999999999,282.28
IDN,Indonesia,2020-06-14,37420.0,2091.0,136.80700000000002,7.645,342.86400000000003
IRN,Iran,2020-06-14,184955.0,8730.0,2202.03,103.93700000000001,270.308
IRQ,Iraq,2020-06-14,18950.0,549.0,471.129,13.649000000000001,218.612
IRL,Ireland,2020-06-14,25295.0,1705.0,5122.731,345.296,126.459
IMN,Isle of Man,2020-06-14,336.0,24.0,3951.454,282.247,
ISR,Israel,2020-06-14,19008.0,300.0,2196.05,34.66,93.32
ITA,Italy,2020-06-14,236651.0,34301.0,3914.0559999999996,567.317,113.15100000000001
JAM,Jamaica,2020-06-14,615.0,10.0,207.68900000000002,3.377,206.537
JPN,Japan,2020-06-14,17429.0,925.0,137.804,7.314,79.37
JEY,Jersey,2020-06-14,313.0,30.0,3096.772,296.815,
JOR,Jordan,2020-06-14,953.0,9.0,93.40299999999999,0.882,208.257
KAZ,Kazakhstan,2020-06-14,14496.0,73.0,772.02,3.888,466.792
KEN,Kenya,2020-06-14,3457.0,100.0,64.291,1.86,218.637
OWID_KOS,Kosovo,2020-06-14,1437.0,32.0,743.4910000000001,16.557000000000002,
KWT,Kuwait,2020-06-14,35466.0,289.0,8304.76,67.673,132.235
KGZ,Kyrgyzstan,2020-06-14,2285.0,27.0,350.235,4.138,436.36199999999997
LAO,Laos,2020-06-14,19.0,0.0,2.611,0.0,368.111
LVA,Latvia,2020-06-14,1097.0,28.0,581.592,14.845,350.06
LBN,Lebanon,2020-06-14,1442.0,32.0,211.268,4.688,266.591
LSO,Lesotho,2020-06-14,4.0,0.0,1.867,0.0,405.126
LBR,Liberia,2020-06-14,446.0,32.0,88.18299999999999,6.327000000000001,272.509
