Country/Region,Population,TotalCases,TotalDeaths,TotalTests
USA,330854064.0,1881205,108059.0,18603174.0
Brazil,212442762.0,558237,31309.0,930013.0
Russia,145929848.0,423741,5037.0,11151622.0
Spain,46753443.0,287012,27127.0,4063843.0
UK,67858826.0,277985,39369.0,4615146.0
Italy,60468295.0,233515,33530.0,3962292.0
India,1378937377.0,207615,5829.0,4103233.0
Germany,83763806.0,184091,8674.0,3952971.0
Peru,32934728.0,174884,4767.0,1092646.0
Turkey,84267248.0,165555,4585.0,2103044.0
Iran,83906701.0,157562,7942.0,975936.0
France,65262729.0,151325,28940.0,1384633.0
Chile,19103405.0,108686,1188.0,612772.0
Mexico,128825735.0,97326,10637.0,293078.0
Canada,37716316.0,92410,7395.0,1724250.0
Saudi Arabia,34769565.0,89011,549.0,853987.0
Pakistan,220532862.0,80463,1688.0,595344.0
Qatar,2807805.0,60259,43.0,231098.0
Belgium,11585802.0,58615,9505.0,884386.0
Bangladesh,164560234.0,52445,709.0,333073.0
Netherlands,17132042.0,46647,5967.0,359833.0
Belarus,9449551.0,44255,243.0,562945.0
Ecuador,17621217.0,40414,3438.0,118754.0
Sweden,10094432.0,38589,4468.0,275500.0
Singapore,5846771.0,35836,24.0,408495.0
South Africa,59248777.0,35812,755.0,761534.0
UAE,9880861.0,35788,269.0,2145493.0
Portugal,10198850.0,32895,1436.0,847181.0
Colombia,50840001.0,31833,1009.0,350213.0
Switzerland,8649729.0,30874,1920.0,400793.0
Kuwait,4265437.0,28649,226.0,290013.0
Indonesia,273295010.0,27549,1663.0,342464.0
Egypt,102173226.0,27536,1052.0,135000.0
Ireland,4933409.0,25066,1658.0,348416.0
Poland,37849635.0,24395,1092.0,945955.0
Ukraine,43752274.0,24340,727.0,371668.0
Romania,19246690.0,19517,1288.0,448813.0
Philippines,109463670.0,18997,966.0,366269.0
Argentina,45163302.0,18319,569.0,167799.0
Dominican Republic,10839344.0,17752,515.0,84638.0
Israel,9197590.0,17342,290.0,593499.0
Japan,126504317.0,16930,894.0,296383.0
