country,iso_a3,subregion
Finland,FIN,Northern Europe
Denmark,DNK,Northern Europe
Norway,NOR,Northern Europe
Iceland,ISL,Northern Europe
Netherlands,NLD,Western Europe
Switzerland,CHE,Western Europe
Sweden,SWE,Northern Europe
New Zealand,NZL,Australia and New Zealand
Canada,CAN,Northern America
Austria,AUT,Western Europe
Australia,AUS,Australia and New Zealand
Costa Rica,CRI,Latin America and the Caribbean
Israel,ISR,Western Asia
Luxembourg,LUX,Western Europe
United Kingdom,GBR,Northern Europe
Ireland,IRL,Northern Europe
Germany,DEU,Western Europe
Belgium,BEL,Western Europe
United States,USA,Northern America
Czech Republic,CZE,Eastern Europe
United Arab Emirates,ARE,Western Asia
Malta,MLT,Southern Europe
Mexico,MEX,Latin America and the Caribbean
France,FRA,Western Europe
Taiwan,TWN,Eastern Asia
Chile,CHL,Latin America and the Caribbean
Guatemala,GTM,Latin America and the Caribbean
Saudi Arabia,SAU,Western Asia
Qatar,QAT,Western Asia
Spain,ESP,Southern Europe
Panama,PAN,Latin America and the Caribbean
Brazil,BRA,Latin America and the Caribbean
Uruguay,URY,Latin America and the Caribbean
Singapore,SGP,South-eastern Asia
El Salvador,SLV,Latin America and the Caribbean
Italy,ITA,Southern Europe
Bahrain,BHR,Western Asia
Slovakia,SVK,Eastern Europe
Poland,POL,Eastern Europe
Uzbekistan,UZB,Central Asia
Lithuania,LTU,Northern Europe
Colombia,COL,Latin America and the Caribbean
Slovenia,SVN,Southern Europe
Nicaragua,NIC,Latin America and the Caribbean
Argentina,ARG,Latin America and the Caribbean
Romania,ROU,Eastern Europe
Cyprus,CYP,Western Asia
Ecuador,ECU,Latin America and the Caribbean
Kuwait,KWT,Western Asia
Thailand,THA,South-eastern Asia
Latvia,LVA,Northern Europe
South Korea,PRK,Eastern Asia
Estonia,EST,Northern Europe
Jamaica,JAM,Latin America and the Caribbean
Mauritius,MUS,Sub-Saharan Africa
Japan,JPN,Eastern Asia
Honduras,HND,Latin America and the Caribbean
Kazakhstan,KAZ,Central Asia
Bolivia,BOL,Latin America and the Caribbean
Hungary,HUN,Eastern Europe
Paraguay,PRY,Latin America and the Caribbean
Peru,PER,Latin America and the Caribbean
Portugal,PRT,Southern Europe
Pakistan,PAK,Southern Asia
Russia,RUS,Eastern Europe
Philippines,PHL,South-eastern Asia
Serbia,SRB,Southern Europe
Moldova,MDA,Eastern Europe
Libya,LBY,Northern Africa
Montenegro,MNE,Southern Europe
Tajikistan,TJK,Central Asia
Croatia,HRV,Southern Europe
Hong Kong,HKG,Eastern Asia
Dominican Republic,DOM,Latin America and the Caribbean
Turkey,TUR,Western Asia
Malaysia,MYS,South-eastern Asia
Belarus,BLR,Eastern Europe
Greece,GRC,Southern Europe
Mongolia,MNG,Eastern Asia
Nigeria,NGA,Sub-Saharan Africa
Kyrgyzstan,KGZ,Central Asia
Turkmenistan,TKM,Central Asia
Algeria,DZA,Northern Africa
Morocco,MAR,Northern Africa
Azerbaijan,AZE,Western Asia
Lebanon,LBN,Western Asia
Indonesia,IDN,South-eastern Asia
China,CHN,Eastern Asia
Vietnam,VNM,South-eastern Asia
Bhutan,BTN,Southern Asia
Cameroon,CMR,Sub-Saharan Africa
Bulgaria,BGR,Eastern Europe
Ghana,GHA,Sub-Saharan Africa
Nepal,NPL,Southern Asia
Jordan,JOR,Western Asia
Benin,BEN,Sub-Saharan Africa
Gabon,GAB,Sub-Saharan Africa
Laos,LAO,South-eastern Asia
South Africa,ZAF,Sub-Saharan Africa
Albania,ALB,Southern Europe
Venezuela,VEN,Latin America and the Caribbean
Cambodia,KHM,South-eastern Asia
Senegal,SEN,Sub-Saharan Africa
Somalia,SOM,Sub-Saharan Africa
Namibia,NAM,Sub-Saharan Africa
Niger,NER,Sub-Saharan Africa
Burkina Faso,BFA,Sub-Saharan Africa
Armenia,ARM,Western Asia
Iran,IRN,Southern Asia
Guinea,GIN,Sub-Saharan Africa
Georgia,GEO,Western Asia
Gambia,GMB,Sub-Saharan Africa
Kenya,KEN,Sub-Saharan Africa
Mauritania,MRT,Sub-Saharan Africa
Mozambique,MOZ,Sub-Saharan Africa
Tunisia,TUN,Northern Africa
Bangladesh,BGD,Southern Asia
Iraq,IRQ,Western Asia
Mali,MLI,Sub-Saharan Africa
Sierra Leone,SLE,Sub-Saharan Africa
Sri Lanka,LKA,Southern Asia
Myanmar,MMR,South-eastern Asia
Chad,TCD,Sub-Saharan Africa
Ukraine,UKR,Eastern Europe
Ethiopia,ETH,Sub-Saharan Africa
Uganda,UGA,Sub-Saharan Africa
Egypt,EGY,Northern Africa
Zambia,ZMB,Sub-Saharan Africa
Togo,TGO,Sub-Saharan Africa
India,IND,Southern Asia
Liberia,LBR,Sub-Saharan Africa
Comoros,COM,Sub-Saharan Africa
Madagascar,MDG,Sub-Saharan Africa
Lesotho,LSO,Sub-Saharan Africa
Burundi,BDI,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
Haiti,HTI,Latin America and the Caribbean
Botswana,BWA,Sub-Saharan Africa
Syria,SYR,Western Asia
Malawi,MWI,Sub-Saharan Africa
Yemen,YEM,Western Asia
Rwanda,RWA,Sub-Saharan Africa
Tanzania,TZA,Sub-Saharan Africa
Afghanistan,AFG,Southern Asia
Central African Republic,CAF,Sub-Saharan Africa
South Sudan,SSD,Sub-Saharan Africa
